ID Cliente;ID Loja;Nome;PrimeiraCompra;CartaoFidelidade;Aniversario;Genero;AnoAniversario
301;3;"Alika Rivas";2017-01-04 00:00:00,000;"021-443-0682";1950-05-13 00:00:00,000;"F";1950
302;3;"Sacha Wall";2017-01-06 00:00:00,000;"433-102-9277";1950-06-29 00:00:00,000;"F";1950
303;3;"Raya Hampton";2017-01-08 00:00:00,000;"478-762-8984";1950-08-14 00:00:00,000;"F";1950
304;3;"Belle Reyes";2017-01-10 00:00:00,000;"930-000-5889";1950-09-30 00:00:00,000;"F";1950
305;3;"Brooke Munoz";2017-01-12 00:00:00,000;"573-552-0754";1950-11-16 00:00:00,000;"F";1950
306;3;"Tanisha Wolf";2017-01-14 00:00:00,000;"369-236-7140";1951-01-01 00:00:00,000;"F";1951
307;3;"Quintessa Franklin";2017-01-16 00:00:00,000;"977-781-3835";1951-02-17 00:00:00,000;"F";1951
308;3;"Charissa Cobb";2017-01-18 00:00:00,000;"618-483-1616";1951-04-04 00:00:00,000;"F";1951
309;3;"Susan Mathis";2017-01-20 00:00:00,000;"726-654-4316";1951-05-21 00:00:00,000;"F";1951
310;3;"Cynthia Hurley";2017-01-22 00:00:00,000;"305-573-4564";1951-07-07 00:00:00,000;"F";1951
311;3;"Melodie Dawson";2017-01-24 00:00:00,000;"694-557-8383";1951-08-22 00:00:00,000;"F";1951
312;3;"Charlotte Webb";2017-01-26 00:00:00,000;"542-155-7242";1951-10-08 00:00:00,000;"F";1951
313;3;"Melyssa Jones";2017-01-28 00:00:00,000;"023-851-0936";1951-11-23 00:00:00,000;"F";1951
314;3;"Yuri Jacobson";2017-01-30 00:00:00,000;"371-921-0474";1952-01-09 00:00:00,000;"F";1952
315;3;"Kellie Barton";2017-02-02 00:00:00,000;"236-217-0356";1952-02-25 00:00:00,000;"F";1952
316;3;"Camille Glass";2017-02-04 00:00:00,000;"448-528-3198";1952-04-11 00:00:00,000;"F";1952
317;3;"Reagan Roberts";2017-02-06 00:00:00,000;"324-062-4567";1952-05-28 00:00:00,000;"F";1952
318;3;"Chelsea Bray";2017-02-08 00:00:00,000;"288-181-8604";1952-07-13 00:00:00,000;"F";1952
319;3;"Lesley Benson";2017-02-10 00:00:00,000;"685-365-3310";1952-08-29 00:00:00,000;"F";1952
320;3;"Denise Matthews";2017-02-12 00:00:00,000;"212-992-5826";1952-10-15 00:00:00,000;"F";1952
321;3;"Lillith Lucas";2017-02-14 00:00:00,000;"365-702-7433";1952-11-30 00:00:00,000;"F";1952
322;3;"Brittany Bradshaw";2017-02-16 00:00:00,000;"927-758-6053";1953-01-16 00:00:00,000;"F";1953
323;3;"Cecilia Davidson";2017-02-18 00:00:00,000;"764-601-4599";1953-03-03 00:00:00,000;"F";1953
324;3;"Emma Cunningham";2017-02-20 00:00:00,000;"495-345-8164";1953-04-19 00:00:00,000;"F";1953
325;3;"Pamela Hays";2017-02-22 00:00:00,000;"160-794-1256";1953-06-05 00:00:00,000;"F";1953
326;3;"Sandra Andrews";2017-02-24 00:00:00,000;"671-876-8210";1953-07-21 00:00:00,000;"F";1953
327;3;"Shafira Moss";2017-02-26 00:00:00,000;"243-622-5454";1953-09-06 00:00:00,000;"F";1953
328;3;"Carla Douglas";2017-02-28 00:00:00,000;"239-263-9162";1953-10-22 00:00:00,000;"F";1953
329;3;"Angela Strickland";2017-03-02 00:00:00,000;"978-857-3312";1953-12-08 00:00:00,000;"F";1953
330;3;"Chanda Marks";2017-03-05 00:00:00,000;"058-713-8690";1954-01-24 00:00:00,000;"F";1954
331;3;"Amelia Alvarado";2017-03-07 00:00:00,000;"056-404-4359";1954-03-11 00:00:00,000;"F";1954
